DATE,LFWA64TTUSM647S
1977-01-01,135145847.099439
1977-02-01,135351123.83066002
1977-03-01,135573966.491703
1977-04-01,135838914.21395603
1977-05-01,136139485.019588
1977-06-01,136339400.022982
1977-07-01,136553487.579376
1977-08-01,136723323.478015
1977-09-01,136839343.341818
1977-10-01,137170462.44677702
1977-11-01,137348689.249529
1977-12-01,137498215.186853
1978-01-01,137670910.13127503
1978-02-01,137858567.17831302
1978-03-01,138032251.37851202
1978-04-01,138106615.842094
1978-05-01,138359395.438443
1978-06-01,138701828.58693
1978-07-01,138823143.55860302
1978-08-01,138953121.028173
1978-09-01,139102986.326031
1978-10-01,139333230.776352
1978-11-01,139569983.229424
1978-12-01,139787156.387568
1979-01-01,140085089.341308
1979-02-01,140276686.314963
1979-03-01,140436185.616612
1979-04-01,140465279.85911003
1979-05-01,140678990.26938
1979-06-01,141078920.24933898
1979-07-01,141179880.42783
1979-08-01,141309899.631709
1979-09-01,141485358.193106
1979-10-01,141726265.832255
1979-11-01,141943516.051302
1979-12-01,142155961.679976
1980-01-01,142426112.523495
1980-02-01,142601560.395816
1980-03-01,142750495.28800002
1980-04-01,142870760.935086
1980-05-01,143194376.24123502
1980-06-01,143422001.66056898
1980-07-01,143583866.607355
1980-08-01,143810767.996621
1980-09-01,143905872.130172
1980-10-01,144014420.43839902
1980-11-01,144156735.661343
1980-12-01,144233227.285425
1981-01-01,144349219.21464998
1981-02-01,144476202.550515
1981-03-01,144664958.130153
1981-04-01,144844881.072961
1981-05-01,145090715.14532402
1981-06-01,145392240.219136
1981-07-01,145482278.662504
1981-08-01,145579202.373081
1981-09-01,145640930.171879
1981-10-01,145815216.30531102
1981-11-01,145970618.506325
1981-12-01,146087023.883255
1982-01-01,145928919.72833303
1982-02-01,146021042.584448
1982-03-01,146212042.28001502
1982-04-01,146535781.324561
1982-05-01,146812493.729596
1982-06-01,146955425.884475
1982-07-01,147079487.411075
1982-08-01,147240664.490478
1982-09-01,147389269.329086
1982-10-01,147580799.512584
1982-11-01,147629851.659094
1982-12-01,147748898.660705
1983-01-01,147226178.047897
1983-02-01,147330982.633565
1983-03-01,147636881.354432
1983-04-01,147974863.34645
1983-05-01,148251453.579639
1983-06-01,148287658.626511
1983-07-01,148471098.265555
1983-08-01,148602898.367626
1983-09-01,148727875.96690097
1983-10-01,148853388.323233
1983-11-01,148924513.47265702
1983-12-01,149073264.473387
1984-01-01,149123150.931892
1984-02-01,149270403.252972
1984-03-01,149423864.571578
1984-04-01,149650511.896658
1984-05-01,149742204.853312
1984-06-01,149941733.837033
1984-07-01,150000004.574519
1984-08-01,150085598.224816
1984-09-01,150264980.123411
1984-10-01,150353620.974512
1984-11-01,150518550.97465798
