DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,Working_Population,Houses,CPI,UNRATE,Cons_Materials,FEDFUNDS,Urban_Pop,Num_Households,Income,Subsidy,old_percent
2004-01-01,141.64600000000004,2004,1,52179.0,187688839.482615,3.8,186.3,5.7,150.0,1.0,79.757,112000,65760.0,27.201,12.3047192322804
2004-02-01,143.192,2004,2,52275.666666666664,187876003.023031,3.7,186.7,5.6,153.4,1.01,79.757,112000,65760.0,27.201,12.3047192322804
2004-03-01,145.059,2004,3,52372.333333333336,188058175.618794,3.6,187.1,5.8,156.5,1.0,79.757,112000,65760.0,27.201,12.3047192322804
2004-04-01,146.593,2004,4,52469.0,188320660.933455,4.0,187.4,5.6,160.1,1.0,79.757,112000,65760.0,27.201,12.3047192322804
2004-05-01,148.186,2004,5,52591.0,188475226.058824,3.8,188.2,5.6,162.7,1.0,79.757,112000,65760.0,27.201,12.3047192322804
2004-06-01,149.85,2004,6,52713.0,188689296.34988895,3.9,188.9,5.6,162.0,1.03,79.757,112000,65760.0,27.201,12.3047192322804
2004-07-01,151.338,2004,7,52835.0,188839779.735266,4.5,189.1,5.5,162.2,1.26,79.757,112000,65760.0,27.201,12.3047192322804
2004-08-01,152.63299999999995,2004,8,52970.666666666664,189070874.198522,4.3,189.2,5.4,165.9,1.43,79.757,112000,65760.0,27.201,12.3047192322804
2004-09-01,154.179,2004,9,53106.333333333336,189216972.38031298,4.1,189.8,5.4,167.2,1.61,79.757,112000,65760.0,27.201,12.3047192322804
2004-10-01,155.75,2004,10,53242.0,189444450.963992,3.9,190.8,5.5,165.9,1.76,79.757,112000,65760.0,27.201,12.3047192322804
2004-11-01,157.52700000000004,2004,11,53401.0,189655307.83841398,4.3,191.7,5.4,165.5,1.93,79.757,112000,65760.0,27.201,12.3047192322804
2004-12-01,159.33,2004,12,53560.0,189811053.36688295,4.1,191.7,5.4,166.3,2.16,79.757,112000,65760.0,27.201,12.3047192322804
2005-01-01,161.28799999999995,2005,1,53719.0,189990144.46577495,4.4,191.6,5.3,168.6,2.28,79.928,113343,66780.0,27.651,12.360162876853302
2005-02-01,163.344,2005,2,53768.666666666664,190144602.89026895,4.3,192.4,5.4,170.4,2.5,79.928,113343,66780.0,27.651,12.360162876853302
2005-03-01,165.812,2005,3,53818.333333333336,190460726.50921202,4.1,193.1,5.2,170.0,2.63,79.928,113343,66780.0,27.651,12.360162876853302
2005-04-01,167.50099999999995,2005,4,53868.0,190466075.803662,4.3,193.7,5.2,170.0,2.79,79.928,113343,66780.0,27.651,12.360162876853302
2005-05-01,169.351,2005,5,53963.0,190709890.602971,4.2,193.6,5.1,168.1,3.0,79.928,113343,66780.0,27.651,12.360162876853302
2005-06-01,171.19,2005,6,54058.0,190962474.634275,4.3,193.7,5.0,167.8,3.04,79.928,113343,66780.0,27.651,12.360162876853302
2005-07-01,172.86,2005,7,54153.0,191114389.968375,4.2,194.9,5.0,167.2,3.26,79.928,113343,66780.0,27.651,12.360162876853302
2005-08-01,174.442,2005,8,54207.666666666664,191266452.871752,4.5,196.1,4.9,165.9,3.5,79.928,113343,66780.0,27.651,12.360162876853302
2005-09-01,176.438,2005,9,54262.333333333336,191438220.909398,4.7,198.8,5.0,168.9,3.62,79.928,113343,66780.0,27.651,12.360162876853302
2005-10-01,178.028,2005,10,54317.0,191655197.459811,4.5,199.1,5.0,171.6,3.78,79.928,113343,66780.0,27.651,12.360162876853302
